lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.89,22.77248694026136
80,60,0.75,44.88,14,5.0,5.0,13.8,13.795680657962727
65,60,2.0,60.6,12,5.75,4.17,22.69,22.739352178126992
55,30,1.5,43.8,16,4.19,9.38,15.48,15.485770557697936
60,30,0.0,22.0,12,6.58,5.0,15.53,15.583400549858494
80,60,0.38,25.92,14,3.93,5.0,10.07,10.0628331132634
55,30,2.0,59.9,12,5.75,4.17,23.62,25.271560382252233
80,60,0.38,64.8,14,2.86,5.0,13.25,13.255983125691634
55,30,2.0,59.9,12,5.75,4.17,26.97,25.271560382252233
65,60,0.9,32.0,20,5.0,5.0,19.9,17.460872295303957
80,60,0.5,65.28,14,2.86,5.0,13.51,13.554376020627894
0,0,0.0,23.52,14,3.93,5.0,9.81,9.778534981823288
45,50,0.51,48.0,8,5.0,5.0,23.0,21.365494005165075
55,30,2.0,45.2,12,5.75,4.17,18.5,18.852243139531684
50,20,2.0,24.0,16,1.84,4.69,5.16,6.120995988342148
0,0,0.0,34.05,16,1.56,5.0,12.63,11.29398764917902
80,60,0.35,42.8,16,4.19,9.38,11.76,11.811475768818145
64,35,1.0,63.62,16,4.19,5.0,25.81,25.826533149438294
40,30,1.0,26.8,14,2.86,5.0,9.06,9.172231862108527
80,60,1.0,45.5,16,4.19,9.38,16.07,16.049000087273374
55,30,1.0,44.2,12,5.75,4.17,17.49,17.373232359415475
55,30,0.0,50.8,12,5.75,4.17,18.84,17.87297387507882
55,30,2.0,45.2,12,5.75,4.17,19.5,18.852243139531684
55,30,2.0,59.9,12,5.75,4.17,27.6,25.271560382252233
80,60,1.0,66.8,14,3.93,5.0,15.07,15.144016820932846
80,60,0.75,66.24,14,3.93,5.0,14.84,14.743954341840475
55,30,2.0,45.2,12,5.75,4.17,19.55,18.852243139531684
40,30,0.5,42.56,14,2.86,5.0,11.14,11.168602225338823
65,35,0.75,42.02,12,5.75,5.0,20.39,18.67422603527975
80,60,1.0,44.1,16,4.19,9.38,15.24,15.264141806666194
45,50,0.77,44.0,8,3.5,5.0,20.03,22.059919798977994
50,20,1.0,24.0,16,1.84,4.69,4.34,5.368850880536634
40,30,0.25,41.44,14,5.0,5.0,13.12,13.04483325700295
50,30,0.3,34.32,16,1.56,5.0,7.93,8.314366126092656
65,35,0.75,42.02,16,4.19,7.0,10.86,10.758646655367848
40,32,1.2,40.99,14,6.0,5.0,16.24,16.311657311688894
40,30,0.13,24.48,14,5.0,5.0,9.91,9.877547239760101
50,20,2.0,24.0,16,4.19,4.69,17.34,17.331607625866496
0,0,0.0,34.05,16,1.56,5.0,11.37,11.29398764917902
55,30,0.35,43.8,16,4.19,9.38,10.64,10.644037958620803
55,30,0.0,50.8,12,5.75,4.17,18.0,17.87297387507882
80,60,0.25,25.28,14,3.93,5.0,10.0,10.033576929896435
65,35,0.75,42.02,16,4.19,7.0,11.06,10.758646655367848
40,30,0.75,64.96,14,5.0,5.0,15.79,15.807263320965486
80,50,0.51,44.0,12,3.5,5.0,12.84,14.38614236452582
0,0,0.0,23.52,14,2.86,5.0,8.48,8.494640453268925
40,32,0.8,39.63,14,6.0,5.0,19.21,19.046747684887663
40,30,0.38,25.2,14,5.0,5.0,10.1,10.098668637799195
50,30,0.3,34.32,16,2.19,5.0,9.98,9.18808512211762
65,60,0.35,42.9,16,4.19,9.38,11.03,11.008459538333119
