lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.89,22.978330291958155
80,60,0.75,44.88,14,5.0,5.0,13.8,14.18943089759821
65,60,2.0,60.6,12,5.75,4.17,22.69,23.70601725573331
55,30,1.5,43.8,16,4.19,9.38,15.48,15.612527386695014
60,30,0.0,22.0,12,6.58,5.0,15.53,15.567581555594495
80,60,0.38,25.92,14,3.93,5.0,10.07,10.105576586134248
55,30,2.0,59.9,12,5.75,4.17,23.62,25.191881029304742
80,60,0.38,64.8,14,2.86,5.0,13.25,13.222697476708777
55,30,2.0,59.9,12,5.75,4.17,26.97,25.191881029304742
65,60,0.9,32.0,20,5.0,5.0,19.9,15.041305936561239
80,60,0.5,65.28,14,2.86,5.0,13.51,13.345465706466062
0,0,0.0,23.52,14,3.93,5.0,9.81,8.891382718279669
45,50,0.51,48.0,8,5.0,5.0,23.0,20.869921095392794
55,30,2.0,45.2,12,5.75,4.17,18.5,19.32391104810924
50,20,2.0,24.0,16,1.84,4.69,5.16,5.970726261843892
0,0,0.0,34.05,16,1.56,5.0,12.63,11.351386824268964
80,60,0.35,42.8,16,4.19,9.38,11.76,12.864838743013513
64,35,1.0,63.62,16,4.19,5.0,25.81,25.77924103202465
40,30,1.0,26.8,14,2.86,5.0,9.06,9.034872969640714
80,60,1.0,45.5,16,4.19,9.38,16.07,15.673869935010444
55,30,1.0,44.2,12,5.75,4.17,17.49,18.261487406393332
55,30,0.0,50.8,12,5.75,4.17,18.84,17.550169023991067
55,30,2.0,45.2,12,5.75,4.17,19.5,19.32391104810924
55,30,2.0,59.9,12,5.75,4.17,27.6,25.191881029304742
80,60,1.0,66.8,14,3.93,5.0,15.07,15.730161375040051
80,60,0.75,66.24,14,3.93,5.0,14.84,14.877531783135884
55,30,2.0,45.2,12,5.75,4.17,19.55,19.32391104810924
40,30,0.5,42.56,14,2.86,5.0,11.14,11.113169418628031
65,35,0.75,42.02,12,5.75,5.0,20.39,18.653838869294187
80,60,1.0,44.1,16,4.19,9.38,15.24,15.364136489306246
45,50,0.77,44.0,8,3.5,5.0,20.03,20.05781405254982
50,20,1.0,24.0,16,1.84,4.69,4.34,5.801658728261208
40,30,0.25,41.44,14,5.0,5.0,13.12,13.244904123088352
50,30,0.3,34.32,16,1.56,5.0,7.93,8.2546289323306
65,35,0.75,42.02,16,4.19,7.0,10.86,11.093307329183613
40,32,1.2,40.99,14,6.0,5.0,16.24,16.27024665362067
40,30,0.13,24.48,14,5.0,5.0,9.91,11.563575161265765
50,20,2.0,24.0,16,4.19,4.69,17.34,17.307260858474166
0,0,0.0,34.05,16,1.56,5.0,11.37,11.351386824268964
55,30,0.35,43.8,16,4.19,9.38,10.64,10.667827276356242
55,30,0.0,50.8,12,5.75,4.17,18.0,17.550169023991067
80,60,0.25,25.28,14,3.93,5.0,10.0,9.995615576186225
65,35,0.75,42.02,16,4.19,7.0,11.06,11.093307329183613
40,30,0.75,64.96,14,5.0,5.0,15.79,16.217408914039567
80,50,0.51,44.0,12,3.5,5.0,12.84,15.87865955275045
0,0,0.0,23.52,14,2.86,5.0,8.48,8.498671844930628
40,32,0.8,39.63,14,6.0,5.0,19.21,15.898061417714073
40,30,0.38,25.2,14,5.0,5.0,10.1,11.619034994396667
50,30,0.3,34.32,16,2.19,5.0,9.98,8.88560957912344
65,60,0.35,42.9,16,4.19,9.38,11.03,12.183892998902085
60,30,0.0,22.0,12,6.58,8.0,14.95,14.977162001311063
55,30,0.35,42.1,16,4.19,9.38,10.34,10.3124822949765
80,60,1.0,27.76,14,5.0,5.0,11.14,11.56506082928078
80,60,0.7,43.1,16,4.19,9.38,14.14,14.16741032097187
50,30,0.3,34.32,16,2.19,5.0,8.39,8.88560957912344
45,50,0.51,48.0,8,5.0,5.0,20.16,20.869921095392794
64,35,1.0,52.5,16,4.19,5.0,23.61,22.453781590698977
80,50,0.51,44.0,12,3.5,5.0,15.9,15.87865955275045
80,60,0.75,66.24,14,5.0,5.0,16.08,16.655775129921135
65,60,1.0,44.4,16,4.19,9.38,14.8,14.826612269877758
80,60,0.5,44.0,14,5.0,5.0,13.41,13.648372062061082
50,20,0.0,24.0,16,1.84,4.69,4.79,8.43821081527166
40,30,0.13,24.48,14,3.93,5.0,9.91,9.866481831542178
80,60,0.5,26.32,14,3.93,5.0,10.3,10.22015376904105
0,0,0.0,48.0,8,2.5,5.0,17.25,17.229217096634038
65,35,0.75,42.02,16,4.19,5.0,13.32,16.96338099002047
40,30,0.25,41.44,14,2.86,5.0,10.91,10.9585833436726
40,32,2.0,49.14,20,6.0,5.0,22.41,21.066184757890298
50,30,0.3,34.32,16,0.94,5.0,7.94,7.962277245837999
0,0,0.0,44.0,16,3.5,5.0,21.08,13.262043904496428
80,60,0.5,65.28,14,5.0,5.0,15.85,15.870690641777413
40,32,0.0,38.16,16,6.0,5.0,18.43,16.993771066600853
40,32,0.0,38.16,14,6.0,5.0,16.0,15.929710932766058
65,60,0.51,32.0,16,1.88,5.0,7.38,7.4142117468662185
55,30,0.0,39.6,12,5.75,4.17,14.4,14.92713319329441
80,60,0.5,44.0,14,3.93,5.0,12.99,12.490988115201407
80,60,0.13,61.84,14,3.93,5.0,13.71,13.799998779025197
0,0,0.0,60.32,14,3.93,5.0,13.41,13.433905105003307
65,35,0.75,42.02,16,4.19,3.0,21.07,21.055702618616888
55,30,2.0,45.2,12,5.75,4.17,19.68,19.32391104810924
55,30,2.0,59.9,12,5.75,4.17,24.69,25.191881029304742
65,60,0.35,44.0,16,4.19,9.38,12.46,12.426263490490442
80,60,0.13,24.88,14,5.0,5.0,10.23,10.284046514108658
50,20,2.0,24.0,16,4.19,4.69,19.6,17.307260858474166
40,32,1.6,48.92,20,6.0,5.0,19.22,19.24508007678682
80,50,0.51,32.0,20,3.25,5.0,10.16,11.188804920550957
0,0,0.0,34.05,16,0.94,5.0,8.62,11.473556567685694
60,30,0.5,26.0,12,6.58,8.0,16.61,15.779321927252619
64,35,0.5,41.73,16,4.19,5.0,20.02,15.850896048695258
55,30,1.0,44.2,12,5.75,4.17,14.95,18.261487406393332
80,60,0.5,44.0,14,2.86,5.0,11.4,11.373073272944612
