lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
65,60,0.9,32.0,20,5.0,5.0,19.9,17.664526
80,60,0.5,65.28,14,2.86,5.0,13.51,13.58521
0,0,0.0,23.52,14,3.93,5.0,9.81,9.786512
45,50,0.51,48.0,8,5.0,5.0,23.0,21.395733
55,30,2.0,45.2,12,5.75,4.17,18.5,18.867716
50,20,2.0,24.0,16,1.84,4.69,5.16,6.090386
0,0,0.0,34.05,16,1.56,5.0,12.63,12.166147
80,60,0.35,42.8,16,4.19,9.38,11.76,11.888715
64,35,1.0,63.62,16,4.19,5.0,25.81,25.89923
40,30,1.0,26.8,14,2.86,5.0,9.06,9.098728
80,60,1.0,45.5,16,4.19,9.38,16.07,16.053244
55,30,1.0,44.2,12,5.75,4.17,17.49,17.310053
55,30,0.0,50.8,12,5.75,4.17,18.84,17.892508
55,30,2.0,45.2,12,5.75,4.17,19.5,18.867716
55,30,2.0,59.9,12,5.75,4.17,27.6,25.225527
80,60,1.0,66.8,14,3.93,5.0,15.07,15.197564
80,60,0.75,66.24,14,3.93,5.0,14.84,14.847639
55,30,2.0,45.2,12,5.75,4.17,19.55,18.867716
40,30,0.5,42.56,14,2.86,5.0,11.14,11.219816
65,35,0.75,42.02,12,5.75,5.0,20.39,18.954664
80,60,1.0,44.1,16,4.19,9.38,15.24,15.235949
45,50,0.77,44.0,8,3.5,5.0,20.03,22.145695
50,20,1.0,24.0,16,1.84,4.69,4.34,5.385656
40,30,0.25,41.44,14,5.0,5.0,13.12,13.040618
50,30,0.3,34.32,16,1.56,5.0,7.93,8.471303
65,35,0.75,42.02,16,4.19,7.0,10.86,10.766208
40,32,1.2,40.99,14,6.0,5.0,16.24,16.435543
40,30,0.13,24.48,14,5.0,5.0,9.91,9.9839115
50,20,2.0,24.0,16,4.19,4.69,17.34,17.243666
0,0,0.0,34.05,16,1.56,5.0,11.37,12.166147
55,30,0.35,43.8,16,4.19,9.38,10.64,10.6900015
55,30,0.0,50.8,12,5.75,4.17,18.0,17.892508
80,60,0.25,25.28,14,3.93,5.0,10.0,10.029626
65,35,0.75,42.02,16,4.19,7.0,11.06,10.766208
40,30,0.75,64.96,14,5.0,5.0,15.79,15.772369
80,50,0.51,44.0,12,3.5,5.0,12.84,14.459817
0,0,0.0,23.52,14,2.86,5.0,8.48,8.507025
40,32,0.8,39.63,14,6.0,5.0,19.21,19.051376
40,30,0.38,25.2,14,5.0,5.0,10.1,10.170857
50,30,0.3,34.32,16,2.19,5.0,9.98,9.213779
65,60,0.35,42.9,16,4.19,9.38,11.03,11.04421
60,30,0.0,22.0,12,6.58,8.0,14.95,14.769446
55,30,0.35,42.1,16,4.19,9.38,10.34,10.301142
80,60,1.0,27.76,14,5.0,5.0,11.14,11.300784
80,60,0.7,43.1,16,4.19,9.38,14.14,13.99858
50,30,0.3,34.32,16,2.19,5.0,8.39,9.213779
45,50,0.51,48.0,8,5.0,5.0,20.16,21.395733
64,35,1.0,52.5,16,4.19,5.0,23.61,23.621483
80,50,0.51,44.0,12,3.5,5.0,15.9,14.459817
80,60,0.75,66.24,14,5.0,5.0,16.08,16.145235
65,60,1.0,44.4,16,4.19,9.38,14.8,14.724989
80,60,0.5,44.0,14,5.0,5.0,13.41,13.735529
50,20,0.0,24.0,16,1.84,4.69,4.79,4.837277
40,30,0.13,24.48,14,3.93,5.0,9.91,9.872026
80,60,0.5,26.32,14,3.93,5.0,10.3,10.514205
0,0,0.0,48.0,8,2.5,5.0,17.25,17.190586
65,35,0.75,42.02,16,4.19,5.0,13.32,13.492918
40,30,0.25,41.44,14,2.86,5.0,10.91,10.963813
40,32,2.0,49.14,20,6.0,5.0,22.41,22.555067
50,30,0.3,34.32,16,0.94,5.0,7.94,8.230497
0,0,0.0,44.0,16,3.5,5.0,21.08,21.041542
80,60,0.5,65.28,14,5.0,5.0,15.85,15.902316
40,32,0.0,38.16,16,6.0,5.0,18.43,18.280586
40,32,0.0,38.16,14,6.0,5.0,16.0,16.207386
