lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.89,21.349671975823487
80,60,0.75,44.88,14,5.0,5.0,13.8,16.340567740058525
65,60,2.0,60.6,12,5.75,4.17,22.69,23.31481375094496
55,30,1.5,43.8,16,4.19,9.38,15.48,14.649378349801822
60,30,0.0,22.0,12,6.58,5.0,15.53,15.211032416712785
80,60,0.38,25.92,14,3.93,5.0,10.07,10.960441456217442
55,30,2.0,59.9,12,5.75,4.17,23.62,24.446007662660154
80,60,0.38,64.8,14,2.86,5.0,13.25,14.933573767203386
55,30,2.0,59.9,12,5.75,4.17,26.97,24.446007662660154
65,60,0.9,32.0,20,5.0,5.0,19.9,12.956626452490008
80,60,0.5,65.28,14,2.86,5.0,13.51,15.29693469049723
0,0,0.0,23.52,14,3.93,5.0,9.81,10.102093990410216
45,50,0.51,48.0,8,5.0,5.0,23.0,16.331737001496695
55,30,2.0,45.2,12,5.75,4.17,18.5,21.759051957687134
50,20,2.0,24.0,16,1.84,4.69,5.16,8.936423941200534
0,0,0.0,34.05,16,1.56,5.0,12.63,9.180170680828093
80,60,0.35,42.8,16,4.19,9.38,11.76,12.40389707525662
64,35,1.0,63.62,16,4.19,5.0,25.81,19.085704812847606
40,30,1.0,26.8,14,2.86,5.0,9.06,9.147573465866833
80,60,1.0,45.5,16,4.19,9.38,16.07,13.847985589443523
55,30,1.0,44.2,12,5.75,4.17,17.49,19.39583082906697
55,30,0.0,50.8,12,5.75,4.17,18.84,18.221142078332235
55,30,2.0,45.2,12,5.75,4.17,19.5,21.759051957687134
55,30,2.0,59.9,12,5.75,4.17,27.6,24.446007662660154
80,60,1.0,66.8,14,3.93,5.0,15.07,18.41773436568057
80,60,0.75,66.24,14,3.93,5.0,14.84,17.602067972915364
55,30,2.0,45.2,12,5.75,4.17,19.55,21.759051957687134
40,30,0.5,42.56,14,2.86,5.0,11.14,11.962123649507179
65,35,0.75,42.02,12,5.75,5.0,20.39,18.2671402972413
80,60,1.0,44.1,16,4.19,9.38,15.24,13.671090161824722
45,50,0.77,44.0,8,3.5,5.0,20.03,14.021197989229398
50,20,1.0,24.0,16,1.84,4.69,4.34,8.104509997887465
40,30,0.25,41.44,14,5.0,5.0,13.12,14.76286944750933
50,30,0.3,34.32,16,1.56,5.0,7.93,8.606285903117499
65,35,0.75,42.02,16,4.19,7.0,10.86,14.047706437387736
40,32,1.2,40.99,14,6.0,5.0,16.24,17.754498273930647
40,30,0.13,24.48,14,5.0,5.0,9.91,11.61692105161652
50,20,2.0,24.0,16,4.19,4.69,17.34,13.298458639759632
0,0,0.0,34.05,16,1.56,5.0,11.37,9.180170680828093
55,30,0.35,43.8,16,4.19,9.38,10.64,12.985318574349128
55,30,0.0,50.8,12,5.75,4.17,18.0,18.221142078332235
80,60,0.25,25.28,14,3.93,5.0,10.0,10.680634375417872
65,35,0.75,42.02,16,4.19,7.0,11.06,14.047706437387736
40,30,0.75,64.96,14,5.0,5.0,15.79,19.36300435485411
80,50,0.51,44.0,12,3.5,5.0,12.84,14.664587040611982
0,0,0.0,23.52,14,2.86,5.0,8.48,8.94668744341869
40,32,0.8,39.63,14,6.0,5.0,19.21,16.806996998397363
40,30,0.38,25.2,14,5.0,5.0,10.1,11.925907303854727
50,30,0.3,34.32,16,2.19,5.0,9.98,9.479325566394198
65,60,0.35,42.9,16,4.19,9.38,11.03,11.646551272304759
60,30,0.0,22.0,12,6.58,8.0,14.95,14.845974403444817
55,30,0.35,42.1,16,4.19,9.38,10.34,12.768698924259505
80,60,1.0,27.76,14,5.0,5.0,11.14,14.068492652592566
80,60,0.7,43.1,16,4.19,9.38,14.14,13.01063433623018
50,30,0.3,34.32,16,2.19,5.0,8.39,9.479325566394198
45,50,0.51,48.0,8,5.0,5.0,20.16,16.331737001496695
64,35,1.0,52.5,16,4.19,5.0,23.61,17.376172943136634
80,50,0.51,44.0,12,3.5,5.0,15.9,14.664587040611982
80,60,0.75,66.24,14,5.0,5.0,16.08,19.130989094605518
65,60,1.0,44.4,16,4.19,9.38,14.8,12.845286929690547
80,60,0.5,44.0,14,5.0,5.0,13.41,15.637548809789013
50,20,0.0,24.0,16,1.84,4.69,4.79,8.076111437686981
40,30,0.13,24.48,14,3.93,5.0,9.91,9.950387835749797
80,60,0.5,26.32,14,3.93,5.0,10.3,11.200564457786614
0,0,0.0,48.0,8,2.5,5.0,17.25,13.915698940953959
65,35,0.75,42.02,16,4.19,5.0,13.32,15.089583593567372
40,30,0.25,41.44,14,2.86,5.0,10.91,11.518083073229237
40,32,2.0,49.14,20,6.0,5.0,22.41,21.05399088134348
50,30,0.3,34.32,16,0.94,5.0,7.94,7.793294589018993
0,0,0.0,44.0,16,3.5,5.0,21.08,12.928618544349316
80,60,0.5,65.28,14,5.0,5.0,15.85,18.29109901885256
40,32,0.0,38.16,16,6.0,5.0,18.43,15.112075731728266
40,32,0.0,38.16,14,6.0,5.0,16.0,15.336918779001929
65,60,0.51,32.0,16,1.88,5.0,7.38,7.515588474126479
55,30,0.0,39.6,12,5.75,4.17,14.4,16.72008143357568
80,60,0.5,44.0,14,3.93,5.0,12.99,14.034987106105467
80,60,0.13,61.84,14,3.93,5.0,13.71,15.43491400304473
0,0,0.0,60.32,14,3.93,5.0,13.41,16.180587375939794
65,35,0.75,42.02,16,4.19,3.0,21.07,16.69048636529454
55,30,2.0,45.2,12,5.75,4.17,19.68,21.759051957687134
55,30,2.0,59.9,12,5.75,4.17,24.69,24.446007662660154
65,60,0.35,44.0,16,4.19,9.38,12.46,11.780690001712019
80,60,0.13,24.88,14,5.0,5.0,10.23,12.1089838872893
50,20,2.0,24.0,16,4.19,4.69,19.6,13.298458639759632
40,32,1.6,48.92,20,6.0,5.0,19.22,20.09853201133999
80,50,0.51,32.0,20,3.25,5.0,10.16,10.564234492772897
0,0,0.0,34.05,16,0.94,5.0,8.62,8.653989382571384
60,30,0.5,26.0,12,6.58,8.0,16.61,15.932531875455352
64,35,0.5,41.73,16,4.19,5.0,20.02,14.490987931479504
55,30,1.0,44.2,12,5.75,4.17,14.95,19.39583082906697
80,60,0.5,44.0,14,2.86,5.0,11.4,12.457906764584997
55,30,0.7,44.0,16,4.19,9.38,12.92,13.486895106844607
80,60,0.38,43.12,14,2.86,5.0,11.24,12.10584584122334
65,60,1.5,46.0,16,4.19,9.38,16.13,13.978569797706268
40,30,1.0,44.4,14,3.93,5.0,12.76,14.714578064668373
80,60,2.0,61.3,12,5.75,4.17,27.12,24.202768264076745
40,32,1.2,48.35,20,6.0,5.0,17.21,19.08909374916442
55,30,1.0,56.4,12,5.75,4.17,23.67,21.349671975823487
80,60,0.25,63.2,14,2.86,5.0,13.09,14.434293029631698
55,30,0.0,39.6,12,5.75,4.17,15.73,16.72008143357568
0,0,0.0,45.28,16,4.19,3.0,20.46,15.60906643298113
40,32,0.8,39.63,16,6.0,5.0,21.18,16.63382711961821
55,30,0.0,39.6,12,5.75,4.17,13.03,16.72008143357568
0,0,0.0,23.52,14,5.0,5.0,9.81,11.437149861239838
55,30,2.0,45.2,12,5.75,4.17,19.3,21.759051957687134
40,30,1.0,66.08,14,3.93,5.0,14.91,18.493868536112053
80,60,0.13,61.84,14,5.0,5.0,15.07,16.908893513070023
40,32,2.0,49.14,14,6.0,5.0,21.83,20.98278573674048
50,20,0.0,24.0,16,4.19,4.69,13.72,11.206499926495983
64,35,1.0,42.67,16,4.19,5.0,18.43,15.676464545125059
40,30,0.38,41.76,14,3.93,5.0,12.51,13.318997041365076
40,30,0.25,24.88,14,3.93,5.0,9.91,10.068019633630716
40,30,0.5,25.52,14,2.86,5.0,8.9,8.628254666958922
40,32,1.6,48.92,14,6.0,5.0,19.98,20.079705789428434
55,30,1.0,44.2,12,5.75,4.17,16.18,19.39583082906697
0,0,0.0,23.52,14,5.0,5.0,9.81,11.437149861239838
40,32,0.0,38.16,20,6.0,5.0,16.18,14.97273301555191
80,60,0.38,43.12,14,5.0,5.0,13.35,15.252595882376044
80,60,1.0,57.4,12,5.75,4.17,21.78,20.685607403054956
0,0,0.0,45.28,12,5.75,5.0,19.09,16.63928663177983
55,30,2.0,59.9,12,5.75,4.17,22.47,24.446007662660154
55,30,0.7,43.0,16,4.19,9.38,11.78,13.348295773355835
