lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.89,22.98480357142857
80,60,0.75,44.88,14,5.0,5.0,13.8,13.869214285714285
65,60,2.0,60.6,12,5.75,4.17,22.69,23.072017857142885
55,30,1.5,43.8,16,4.19,9.38,15.48,15.263440476190475
60,30,0.0,22.0,12,6.58,5.0,15.53,15.521440476190454
80,60,0.38,25.92,14,3.93,5.0,10.07,10.080684523809433
55,30,2.0,59.9,12,5.75,4.17,23.62,25.034553571428734
80,60,0.38,64.8,14,2.86,5.0,13.25,13.281726190476189
55,30,2.0,59.9,12,5.75,4.17,26.97,25.034553571428734
65,60,0.9,32.0,20,5.0,5.0,19.9,17.454928571428507
80,60,0.5,65.28,14,2.86,5.0,13.51,13.533434523809609
0,0,0.0,23.52,14,3.93,5.0,9.81,9.84105357142874
45,50,0.51,48.0,8,5.0,5.0,23.0,20.890773809523665
55,30,2.0,45.2,12,5.75,4.17,18.5,19.078494047619333
50,20,2.0,24.0,16,1.84,4.69,5.16,5.973369047618955
0,0,0.0,34.05,16,1.56,5.0,12.63,12.543410714285738
80,60,0.35,42.8,16,4.19,9.38,11.76,11.994089285714427
64,35,1.0,63.62,16,4.19,5.0,25.81,25.35207738095214
40,30,1.0,26.8,14,2.86,5.0,9.06,9.353744047619054
80,60,1.0,45.5,16,4.19,9.38,16.07,15.893357142857253
55,30,1.0,44.2,12,5.75,4.17,17.49,17.29148214285738
55,30,0.0,50.8,12,5.75,4.17,18.84,17.584869047618987
55,30,2.0,45.2,12,5.75,4.17,19.5,19.078494047619333
55,30,2.0,59.9,12,5.75,4.17,27.6,25.034553571428734
80,60,1.0,66.8,14,3.93,5.0,15.07,14.721416666666768
80,60,0.75,66.24,14,3.93,5.0,14.84,14.812815476190458
55,30,2.0,45.2,12,5.75,4.17,19.55,19.078494047619333
40,30,0.5,42.56,14,2.86,5.0,11.14,11.317708333333325
65,35,0.75,42.02,12,5.75,5.0,20.39,20.383624999999768
80,60,1.0,44.1,16,4.19,9.38,15.24,15.355875000000106
45,50,0.77,44.0,8,3.5,5.0,20.03,22.05961904761884
50,20,1.0,24.0,16,1.84,4.69,4.34,5.794011904761959
40,30,0.25,41.44,14,5.0,5.0,13.12,12.818940476190427
50,30,0.3,34.32,16,1.56,5.0,7.93,8.436250000000058
65,35,0.75,42.02,16,4.19,7.0,10.86,10.912892857142793
40,32,1.2,40.99,14,6.0,5.0,16.24,16.860827380952294
40,30,0.13,24.48,14,5.0,5.0,9.91,10.003267857142776
50,20,2.0,24.0,16,4.19,4.69,17.34,17.315386904762022
0,0,0.0,34.05,16,1.56,5.0,11.37,12.543410714285738
55,30,0.35,43.8,16,4.19,9.38,10.64,10.920874999999905
55,30,0.0,50.8,12,5.75,4.17,18.0,17.584869047618987
80,60,0.25,25.28,14,3.93,5.0,10.0,10.081636904761925
65,35,0.75,42.02,16,4.19,7.0,11.06,10.912892857142793
40,30,0.75,64.96,14,5.0,5.0,15.79,15.477386904762078
80,50,0.51,44.0,12,3.5,5.0,12.84,14.356946428571517
0,0,0.0,23.52,14,2.86,5.0,8.48,8.525511904761736
40,32,0.8,39.63,14,6.0,5.0,19.21,18.826726190476013
40,30,0.38,25.2,14,5.0,5.0,10.1,10.12024999999994
50,30,0.3,34.32,16,2.19,5.0,9.98,9.19180357142873
65,60,0.35,42.9,16,4.19,9.38,11.03,11.476184523809621
60,30,0.0,22.0,12,6.58,8.0,14.95,15.196416666666652
55,30,0.35,42.1,16,4.19,9.38,10.34,10.493863095238051
80,60,1.0,27.76,14,5.0,5.0,11.14,11.35323809523813
80,60,0.7,43.1,16,4.19,9.38,14.14,13.848089285714384
50,30,0.3,34.32,16,2.19,5.0,8.39,9.19180357142873
45,50,0.51,48.0,8,5.0,5.0,20.16,20.890773809523665
64,35,1.0,52.5,16,4.19,5.0,23.61,23.818238095237813
80,50,0.51,44.0,12,3.5,5.0,15.9,14.356946428571517
80,60,0.75,66.24,14,5.0,5.0,16.08,15.657922619047635
65,60,1.0,44.4,16,4.19,9.38,14.8,14.950011904762011
80,60,0.5,44.0,14,5.0,5.0,13.41,13.421452380952308
50,20,0.0,24.0,16,1.84,4.69,4.79,4.819053571428541
40,30,0.13,24.48,14,3.93,5.0,9.91,10.053464285714197
80,60,0.5,26.32,14,3.93,5.0,10.3,10.406851190476205
0,0,0.0,48.0,8,2.5,5.0,17.25,17.22597619047619
65,35,0.75,42.02,16,4.19,5.0,13.32,13.70073214285702
40,30,0.25,41.44,14,2.86,5.0,10.91,11.035916666666557
40,32,2.0,49.14,20,6.0,5.0,22.41,22.12027380952368
50,30,0.3,34.32,16,0.94,5.0,7.94,8.220630952380894
0,0,0.0,44.0,16,3.5,5.0,21.08,20.8732202380951
80,60,0.5,65.28,14,5.0,5.0,15.85,15.637517857142962
40,32,0.0,38.16,16,6.0,5.0,18.43,17.877130952381144
40,32,0.0,38.16,14,6.0,5.0,16.0,15.94325595238103
65,60,0.51,32.0,16,1.88,5.0,7.38,7.439803571428658
55,30,0.0,39.6,12,5.75,4.17,14.4,14.558125000000263
80,60,0.5,44.0,14,3.93,5.0,12.99,12.896779761904721
80,60,0.13,61.84,14,3.93,5.0,13.71,13.457255952381008
0,0,0.0,60.32,14,3.93,5.0,13.41,13.411601190476086
65,35,0.75,42.02,16,4.19,3.0,21.07,20.612845238095677
55,30,2.0,45.2,12,5.75,4.17,19.68,19.078494047619333
55,30,2.0,59.9,12,5.75,4.17,24.69,25.034553571428734
65,60,0.35,44.0,16,4.19,9.38,12.46,12.494154761904756
80,60,0.13,24.88,14,5.0,5.0,10.23,10.463607142857049
50,20,2.0,24.0,16,4.19,4.69,19.6,17.315386904762022
40,32,1.6,48.92,20,6.0,5.0,19.22,19.33792261904766
80,50,0.51,32.0,20,3.25,5.0,10.16,11.218702380952367
0,0,0.0,34.05,16,0.94,5.0,8.62,8.71494047619039
60,30,0.5,26.0,12,6.58,8.0,16.61,16.772922619047602
64,35,0.5,41.73,16,4.19,5.0,20.02,19.822636904762128
55,30,1.0,44.2,12,5.75,4.17,14.95,17.29148214285738
80,60,0.5,44.0,14,2.86,5.0,11.4,11.541392857142803
55,30,0.7,44.0,16,4.19,9.38,12.92,12.641291666666783
80,60,0.38,43.12,14,2.86,5.0,11.24,11.496291666666606
65,60,1.5,46.0,16,4.19,9.38,16.13,16.03135119047621
40,30,1.0,44.4,14,3.93,5.0,12.76,12.902077380952399
80,60,2.0,61.3,12,5.75,4.17,27.12,26.46667857142852
40,32,1.2,48.35,20,6.0,5.0,17.21,17.236744047619084
55,30,1.0,56.4,12,5.75,4.17,23.67,22.98480357142857
80,60,0.25,63.2,14,2.86,5.0,13.09,13.135416666666744
55,30,0.0,39.6,12,5.75,4.17,15.73,14.558125000000263
0,0,0.0,45.28,16,4.19,3.0,20.46,19.620011904762098
40,32,0.8,39.63,16,6.0,5.0,21.18,19.947988095238056
55,30,0.0,39.6,12,5.75,4.17,13.03,14.558125000000263
0,0,0.0,23.52,14,5.0,5.0,9.81,9.845976190476359
55,30,2.0,45.2,12,5.75,4.17,19.3,19.078494047619333
40,30,1.0,66.08,14,3.93,5.0,14.91,14.751964285714218
80,60,0.13,61.84,14,5.0,5.0,15.07,14.828184523809407
40,32,2.0,49.14,14,6.0,5.0,21.83,20.93817857142871
50,20,0.0,24.0,16,4.19,4.69,13.72,13.561172619047632
64,35,1.0,42.67,16,4.19,5.0,18.43,19.312321428571707
40,30,0.38,41.76,14,3.93,5.0,12.51,12.711851190476093
40,30,0.25,24.88,14,3.93,5.0,9.91,9.987678571428578
40,30,0.5,25.52,14,2.86,5.0,8.9,9.181452380952349
40,32,1.6,48.92,14,6.0,5.0,19.98,19.99214285714292
55,30,1.0,44.2,12,5.75,4.17,16.18,17.29148214285738
0,0,0.0,23.52,14,5.0,5.0,9.81,9.845976190476359
40,32,0.0,38.16,20,6.0,5.0,16.18,17.027011904762066
80,60,0.38,43.12,14,5.0,5.0,13.35,13.289357142857122
80,60,1.0,57.4,12,5.75,4.17,21.78,21.606345238095408
0,0,0.0,45.28,12,5.75,5.0,19.09,19.021035714285826
55,30,2.0,59.9,12,5.75,4.17,22.47,25.034553571428734
55,30,0.7,43.0,16,4.19,9.38,11.78,11.91592857142864
55,30,1.0,44.2,12,5.75,4.17,15.27,17.29148214285738
55,30,0.0,50.8,12,5.75,4.17,19.68,17.584869047618987
55,30,0.0,39.6,12,5.75,4.17,14.38,14.558125000000263
80,60,1.0,27.76,14,2.86,5.0,9.81,10.17051190476193
50,20,1.0,24.0,16,4.19,4.69,15.91,15.188261904761731
40,30,0.38,62.96,14,3.93,5.0,14.16,14.206374999999907
80,60,0.75,44.88,14,2.86,5.0,11.47,11.70272023809527
0,0,0.0,45.28,16,4.19,5.0,14.84,14.847785714285823
55,30,1.0,56.4,12,5.75,4.17,24.33,22.98480357142857
80,60,1.0,27.76,14,3.93,5.0,11.01,10.966255952380989
55,30,2.0,45.2,12,5.75,4.17,18.85,19.078494047619333
80,60,1.5,44.5,16,4.19,9.38,16.52,16.391065476190626
80,60,0.25,42.16,14,3.93,5.0,12.7,12.586488095238053
40,30,0.25,41.44,14,3.93,5.0,12.34,12.549660714285617
0,0,0.0,44.0,16,3.5,5.0,21.22,20.8732202380951
0,0,0.0,43.1,16,4.19,9.38,9.42,9.376660714285705
55,30,1.5,42.4,16,4.19,9.38,15.36,15.32738690476197
55,30,1.0,44.2,12,5.75,4.17,16.87,17.29148214285738
80,60,1.0,66.8,14,2.86,5.0,14.26,14.034476190476338
80,60,0.5,56.0,12,5.75,4.17,20.46,20.503714285714185
65,60,1.0,55.9,12,5.75,4.17,19.96,20.13247619047598
55,30,2.0,45.2,12,5.75,4.17,22.08,19.078494047619333
55,30,2.0,45.2,12,5.75,4.17,17.11,19.078494047619333
40,30,0.38,41.76,14,5.0,5.0,13.25,13.249904761904705
60,30,1.0,27.5,12,6.58,5.0,19.0,18.37826190476177
50,20,1.0,24.0,16,4.19,4.69,14.48,15.188261904761731
65,35,0.75,42.02,20,3.25,5.0,12.61,12.57264285714292
0,0,0.0,39.92,14,5.0,5.0,12.67,12.662869047619104
40,30,1.0,26.8,14,5.0,5.0,10.69,10.931916666666618
